Deviation,EIId,EIName,DSignal,dataOk,IndexRelease,PreReleasePrice,SpikeMaximumPrice,Direction,SpikePips,EventDate,symbol
"1,2",1339,UK RS ex Auto MoM,1,True,30,"9,4154","9,4125",Short,"2,90000000000035",2015-10-22 08:30:00 AM,EURSEK
"1,2",1339,UK RS ex Auto MoM,1,True,30,"1,5747","1,5742",Short,"4,99999999999945",2015-10-22 08:30:00 AM,EURSGD
"1,2",1339,UK RS ex Auto MoM,1,True,30,"1,1311","1,1316",Long,"4,99999999999945",2015-10-22 08:30:00 AM,EURUSD
"1,2",1339,UK RS ex Auto MoM,1,True,30,"1,4849","1,4892",Long,"42,9999999999997",2015-10-22 08:30:00 AM,GBPCHF
"1,2",1339,UK RS ex Auto MoM,1,True,30,"184,977","185,577",Long,"59,9999999999994",2015-10-22 08:30:00 AM,GBPJPY
"1,2",1339,UK RS ex Auto MoM,1,True,30,"12,8734","12,9026",Long,"29,1999999999994",2015-10-22 08:30:00 AM,GBPSEK
"1,2",1339,UK RS ex Auto MoM,1,True,30,"1,546","1,5508",Long,"47,9999999999992",2015-10-22 08:30:00 AM,GBPUSD
"1,2",1339,UK RS ex Auto MoM,1,True,30,"80,965","80,99",Long,"2,49999999999915",2015-10-22 08:30:00 AM,NZDJPY
"1,2",1339,UK RS ex Auto MoM,1,True,30,"0,6766","0,6768",Long,"1,99999999999978",2015-10-22 08:30:00 AM,NZDUSD
"1,2",1339,UK RS ex Auto MoM,1,True,30,"1,3122","1,3108",Short,"14,0000000000007",2015-10-22 08:30:00 AM,USDCAD
"1,2",1339,UK RS ex Auto MoM,1,True,30,"0,9604","0,9601",Short,"3,00000000000078",2015-10-22 08:30:00 AM,USDCHF
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"0,9508","0,9509",Long,"0,99999999999989",2015-11-19 09:30:00 AM,AUDCAD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"88,333","88,307",Short,"2,59999999999962",2015-11-19 09:30:00 AM,AUDJPY
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,1004","1,1",Short,"3,99999999999956",2015-11-19 09:30:00 AM,AUDNZD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"0,7171","0,7173",Long,"2,00000000000089",2015-11-19 09:30:00 AM,AUDUSD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"92,913","92,874",Short,"3,90000000000015",2015-11-19 09:30:00 AM,CADJPY
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,48981","1,4903",Long,"4,89999999999879",2015-11-19 09:30:00 AM,EURAUD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,41643","1,41701",Long,"5,80000000000025",2015-11-19 09:30:00 AM,EURCAD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,08751","1,0877",Long,"1,89999999999912",2015-11-19 09:30:00 AM,EURCHF
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"0,70009","0,70123",Long,"11,4000000000003",2015-11-19 09:30:00 AM,EURGBP
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"309,85","309,81",Short,"0,000400000000000205",2015-11-19 09:30:00 AM,EURHUF
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"131,6","131,63",Long,"3,00000000000011",2015-11-19 09:30:00 AM,EURJPY
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"9,2467","9,2481",Long,"1,40000000000029",2015-11-19 09:30:00 AM,EURNOK
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"4,2459","4,2455",Short,"3,99999999999956",2015-11-19 09:30:00 AM,EURPLN
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"9,2873","9,2886",Long,"1,30000000000052",2015-11-19 09:30:00 AM,EURSEK
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,5125","1,5129",Long,"3,99999999999956",2015-11-19 09:30:00 AM,EURSGD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,0684","1,0688",Long,"3,99999999999956",2015-11-19 09:30:00 AM,EURUSD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,5533","1,5509",Short,"23,9999999999996",2015-11-19 09:30:00 AM,GBPCHF
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"187,967","187,68",Short,"28,7000000000006",2015-11-19 09:30:00 AM,GBPJPY
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"13,2644","13,2473",Short,"17,100000000001",2015-11-19 09:30:00 AM,GBPSEK
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,526","1,5238",Short,"21,9999999999998",2015-11-19 09:30:00 AM,GBPUSD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"80,272","80,251",Short,"2,10000000000008",2015-11-19 09:30:00 AM,NZDJPY
